smiles,hit1_short,hit2_short,inchi_key,compound_set,error_type
COCC(=O)N[C@H]1CCCC[C@]12C(=O)NCC[C@@H]2Br,cx0692a,cx1076a,FNHGBIFBXKFXQD-OUJBWJOFSA-N,cx1076a-cx0692a,NoSynthesisRoute
NC(=O)c1ccc2[nH]n(-c3ccccc3)c(=O)c2c1,cx0760a,cx0441a,USJLEMAYLJACKY-UHFFFAOYSA-N,cx0760a-cx0441a,NoSynthesisRoute
CC(C)(C(=O)c1cc2cc(F)ccc2cc1F)c1ccncc1,cx0824a,cx0540a,HLVWNPOOEHBPQQ-UHFFFAOYSA-N,cx0540a-cx0824a,NoSynthesisRoute
N[C@H]1C[C@@]2(CCN1)N[C@H](C(=O)N[C@@H]1CCC(=O)NC1)CS2,cx1440a,cx0300a,YEBFHGFWUANWQR-COMAGPEQSA-N,cx0300a-cx1440a,NoSynthesisRoute
NC(=O)Nc1cccc2c1OCc1nsc(N[C@@H]3CCC[C@H]3CO)c1-2,cx0544a,cx0406a,OAICSEFZSKZFMV-GXSJLCMTSA-N,cx0544a-cx0406a,NoSynthesisRoute
CNc1cnc2ccc([C@@H]3CCC[C@H]3CO)cc2n1,cx0839a,cx0406a,GVJBINMCNRNOAI-RYUDHWBXSA-N,cx0839a-cx0406a,NoSynthesisRoute
CN(CC(N)=O)c1snc(CCc2nc(Cn3ccccc3=O)no2)c1C#N,cx0553a,cx0316a,GPZJEEYGFUVZKG-UHFFFAOYSA-N,cx0316a-cx0553a,NoSynthesisRoute
COCC(=O)N[C@H]1CC[C@@H](O)C[C@]12CNC[C@@H]2C(=O)OC,cx0935a,cx1278a,XPKCWEBJKCHHHK-NJBDSQKTSA-N,cx0935a-cx1278a,NoSynthesisRoute
COC[C@H]1ON[C@H]2[C@@H]1CCCN[C@@H]2N,cx0404a,cx1402a,WRBAXNAMZCGYTN-HXFLIBJXSA-N,cx0404a-cx1402a,NoSynthesisRoute
CCOc1c(C)cccc1C(=O)[N+](C)(C)[O-],cx0522a,cx0305a,BQWBETSFXSQZSO-UHFFFAOYSA-N,cx0522a-cx0305a,NoSynthesisRoute
O=C1C[C@@]2(CCN(c3ccccc3F)C2=O)[C@H](CC(=O)c2cscn2)CN1,cx0398a,cx0300a,GALXDKHZCUFLNP-BLVKFPJESA-N,cx0398a-cx0300a,NoSynthesisRoute
Nc1ccc(S(=O)(=O)NN2COc3cc(-c4ccn[nH]4)ccc32)cc1,cx0289a,cx0864d,VUFQTOXRHKYCQJ-UHFFFAOYSA-N,cx0864d-cx0289a,NoSynthesisRoute
C[C@H]1COc2cc(O)c(CO)cc21,cx0969a,cx1316a,VXRYAOWDXSGLEE-LURJTMIESA-N,cx0969a-cx1316a,NoSynthesisRoute
NC(=O)c1cc2scc(C(=O)N[C@@H]3CCC(=O)NC3)c2cc1N,cx1372a,cx0300a,GAXUXENYSQWSMK-SSDOTTSWSA-N,cx0300a-cx1372a,NoSynthesisRoute
Cc1cnc2cnnc-2c2ccc3c(c12)OCO3,cx0864a,cx0756a,YYFHFXCXRBQSCG-UHFFFAOYSA-N,cx0864a-cx0756a,NoSynthesisRoute
CNC(=O)c1cn(C)c2c(O)c(C(N)=O)ccc12,cx1445d,cx0270a,BHSNIPGLENZPPW-UHFFFAOYSA-N,cx0270a-cx1445d,NoSynthesisRoute
Nc1cc(O)cc2c1OCN2F,cx1305a,cx1410a,LYCREJRCENYTSV-UHFFFAOYSA-N,cx1305a-cx1410a,NoSynthesisRoute
NC(=O)c1ccc2c(c1)C[C@@]1(C[C@H]3CCCC[C@H]3C1)NC2,cx0436a,cx0441a,XADHKYPYAQGCKZ-UOIKSKOESA-N,cx0441a-cx0436a,NoSynthesisRoute
CC1=NC(=O)c2c(C)cc(C(=O)N[C@@H]3CCC(=O)NC3)nc21,cx1194a,cx0300a,YWJFGTHZNXFVBZ-SECBINFHSA-N,cx1194a-cx0300a,NoSynthesisRoute
CCOc1c(O)ccc2nn(N)c(CC)c12,cx1299a,cx1417a,ZFLRBPWUUCTPDU-UHFFFAOYSA-N,cx1417a-cx1299a,NoSynthesisRoute
CCCc1ccc(N)c2c1c(C)nn2O,cx1372a,cx1417a,NUNGWDWCSJIJQO-UHFFFAOYSA-N,cx1372a-cx1417a,NoSynthesisRoute
COCC(=O)N[C@H]1CC[C@@H](O)[C@@]2(C1)[C@@H](C(N)=O)CNN2CCO,cx0935a,cx0477a,YQIWVNUMRNXSFL-ICUOPCATSA-N,cx0935a-cx0477a,NoSynthesisRoute
Nc1cc2c3c(cccc3c1)CC(Nc1ccc(O)cc1)C2,cx1260a,cx0935a,VQIBYMODFAYWEL-UHFFFAOYSA-N,cx1260a-cx0935a,NoSynthesisRoute
COC[C@@H](C)n1c(N)nc2ccccc21,cx1278a,cx1299a,SRBKGIOKGZEZBL-MRVPVSSYSA-N,cx1299a-cx1278a,NoSynthesisRoute
N[C@@H](N=O)c1cnn(CCO)c1C(F)F,cx0477a,cx0394a,BPARDJHSZTZNKH-ZETCQYMHSA-N,cx0477a-cx0394a,NoSynthesisRoute
CCc1cc[nH]c1[C@@H]1C[C@@H](CCCN)[C@](C)(Nc2ccccn2)C1=O,cx0289a,cx0399a,IUYJGMKGEWUZKR-GUXCAODWSA-N,cx0399a-cx0289a,NoSynthesisRoute
CN(C)C(=O)c1cccc2c(CO)nc3ccccc3c12,cx0522a,cx1183a,CUONIIGLNBPCDQ-UHFFFAOYSA-N,cx0522a-cx1183a,NoSynthesisRoute
C[C@H](c1cnc2[nH]ccc2c1)c1nc(Cn2ccccc2=O)no1,cx1402a,cx0316a,BWYZNNJKCYGIJJ-LLVKDONJSA-N,cx1402a-cx0316a,NoSynthesisRoute
Oc1ccc(NN2COc3cc(-c4ccn[nH]4)ccc32)cc1,cx0935a,cx0864d,LQNAXKMPRWMOMP-UHFFFAOYSA-N,cx0935a-cx0864d,NoSynthesisRoute
OC[C@@H]1CCC[C@H]1N[C@@H]1N[C@]2(NCCc3ccccc32)NS1,cx0353a,cx0406a,UDYCJHCLGLVBPC-XZDPQHSOSA-N,cx0353a-cx0406a,NoSynthesisRoute
N[C@H]1NCCNC2=C1CCC2,cx1371a,cx1406a,JMUAYQTUOQUXMA-QMMMGPOBSA-N,cx1371a-cx1406a,NoSynthesisRoute
COCC(=O)N1C[C@H](/C(N)=N/O)c2ccccc21,cx0692a,cx1134a,SPMSYTVRNZIFCI-VIFPVBQESA-N,cx0692a-cx1134a,NoSynthesisRoute
N#CCc1nccn1CC(F)(F)OC1=C(CCO)C(=O)N=N1,cx0317a,cx0294a,FOLIGXJSWKWUJI-UHFFFAOYSA-N,cx0294a-cx0317a,NoSynthesisRoute
